age,fnlwgt,marital_status,relationship,race,sex,capital_gain,capital_loss,hours_per_week,income,workclass_grouped,education_grouped,occupation_grouped,native_country_grouped
65,249043,Married-civ-spouse,Husband,White,Male,10605,0,40,>50K,Self-Employed,Bachelors,Service,USA
20,318865,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Private,Some College,White-Collar,USA
38,132879,Married-civ-spouse,Husband,White,Male,7298,0,50,>50K,Private,High School,Blue-Collar,USA
25,169124,Married-civ-spouse,Husband,White,Male,0,0,45,<=50K,Private,High School,Blue-Collar,USA
36,193855,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Private,High School,Blue-Collar,USA
32,164190,Never-married,Own-child,White,Male,0,0,40,<=50K,Private,Some College,White-Collar,USA
56,314727,Married-civ-spouse,Husband,White,Male,0,0,35,>50K,Private,High School,Blue-Collar,USA
30,159442,Separated,Not-in-family,White,Female,0,0,40,<=50K,Private,High School,White-Collar,USA
41,254818,Divorced,Unmarried,White,Male,0,0,40,<=50K,Self-Employed,Advanced,Blue-Collar,South America
59,178282,Married-civ-spouse,Husband,White,Male,7688,0,40,>50K,Private,High School,Blue-Collar,USA
26,79078,Never-married,Not-in-family,White,Male,0,0,50,<=50K,Self-Employed,High School,Blue-Collar,USA
17,225106,Never-married,Own-child,White,Female,0,1602,18,<=50K,Private,Dropout,Service,USA
25,120238,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Private,High School,Sales,USA
17,186575,Never-married,Own-child,White,Male,0,0,10,<=50K,Self-Employed,Dropout,Blue-Collar,USA
70,272896,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Self-Employed,Advanced,White-Collar,USA
50,27539,Married-civ-spouse,Husband,White,Male,7688,0,40,>50K,Self-Employed,Some College,Blue-Collar,USA
39,179016,Never-married,Not-in-family,Black,Male,0,0,40,<=50K,Private,High School,Blue-Collar,USA
43,35824,Separated,Unmarried,White,Female,0,0,40,<=50K,Private,Some College,White-Collar,USA
61,154536,Widowed,Unmarried,Black,Female,0,2001,40,<=50K,Private,Dropout,Blue-Collar,USA
23,145964,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Private,Some College,Blue-Collar,USA
48,158924,Married-civ-spouse,Wife,White,Female,0,0,40,>50K,Private,High School,White-Collar,USA
38,206951,Married-civ-spouse,Husband,White,Male,0,0,65,<=50K,Self-Employed,High School,White-Collar,USA
43,397280,Never-married,Not-in-family,White,Male,0,0,50,>50K,Private,Some College,White-Collar,USA
27,147638,Never-married,Other-relative,Asian-Pac-Islander,Female,0,0,40,<=50K,Private,Bachelors,White-Collar,Asia
23,194723,Never-married,Not-in-family,White,Female,0,0,40,<=50K,Private,Bachelors,White-Collar,USA
33,134737,Married-civ-spouse,Husband,White,Male,2829,0,70,<=50K,Self-Employed,High School,Blue-Collar,USA
27,190911,Never-married,Own-child,White,Male,0,0,45,<=50K,Self-Employed,High School,Sales,USA
28,112917,Married-civ-spouse,Husband,Other,Male,0,0,40,<=50K,Private,Some College,Support,North America
31,61559,Never-married,Not-in-family,White,Male,0,0,50,<=50K,Private,High School,Service,USA
38,210438,Divorced,Unmarried,White,Female,0,0,40,<=50K,Private,Dropout,Sales,USA
27,200733,Married-civ-spouse,Husband,White,Male,0,0,55,<=50K,Private,High School,Blue-Collar,USA
23,184813,Married-civ-spouse,Husband,White,Male,0,0,20,<=50K,Private,Some College,Service,USA
21,119704,Never-married,Unmarried,White,Female,0,0,35,<=50K,Private,Some College,Sales,USA
46,186172,Married-civ-spouse,Husband,White,Male,3103,0,40,>50K,Private,Bachelors,White-Collar,USA
39,132879,Married-civ-spouse,Husband,White,Male,0,0,50,>50K,Private,Some College,White-Collar,USA
25,36023,Married-spouse-absent,Not-in-family,White,Male,0,0,55,<=50K,Private,High School,Blue-Collar,USA
38,103474,Never-married,Not-in-family,White,Female,0,0,45,<=50K,Private,Bachelors,Support,USA
23,342769,Never-married,Not-in-family,White,Female,0,0,20,<=50K,Private,Bachelors,Support,USA
30,227146,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Private,Bachelors,Sales,USA
33,251990,Separated,Not-in-family,Other,Male,0,0,37,<=50K,Private,High School,White-Collar,USA
19,179991,Never-married,Own-child,White,Female,0,0,35,<=50K,Private,High School,Service,USA
22,203182,Separated,Unmarried,White,Female,0,0,43,<=50K,Private,Some College,Sales,USA
18,214617,Never-married,Own-child,White,Male,0,0,30,<=50K,Private,Some College,Blue-Collar,USA
35,157473,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Self-Employed,High School,Blue-Collar,USA
63,71800,Widowed,Not-in-family,White,Female,0,0,41,<=50K,Private,Dropout,Service,USA
47,330416,Never-married,Not-in-family,White,Male,0,0,60,<=50K,Self-Employed,Some College,Blue-Collar,USA
44,226027,Married-civ-spouse,Husband,White,Male,0,0,60,<=50K,Self-Employed,Some College,White-Collar,USA
42,152676,Divorced,Unmarried,White,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar,Central America
20,172047,Never-married,Own-child,White,Male,0,0,10,<=50K,Private,Some College,Blue-Collar,USA
24,172232,Married-civ-spouse,Husband,White,Male,0,0,42,<=50K,Private,High School,Blue-Collar,USA
38,188503,Never-married,Unmarried,White,Female,6497,0,35,<=50K,Private,Some College,White-Collar,USA
43,145441,Married-civ-spouse,Husband,White,Male,0,0,38,>50K,Private,Bachelors,White-Collar,USA
37,268598,Married-civ-spouse,Husband,Other,Male,7298,0,50,>50K,Self-Employed,Bachelors,White-Collar,Central America
58,233193,Widowed,Not-in-family,White,Female,0,0,27,<=50K,Private,High School,White-Collar,USA
27,87745,Married-civ-spouse,Husband,White,Male,0,0,70,<=50K,Self-Employed,Some College,Blue-Collar,USA
61,179743,Married-civ-spouse,Husband,White,Male,0,2051,20,<=50K,Private,High School,Blue-Collar,USA
68,253866,Married-civ-spouse,Husband,White,Male,0,0,30,<=50K,Private,Bachelors,Sales,USA
32,200246,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Private,Some College,Blue-Collar,USA
31,226494,Never-married,Not-in-family,White,Male,0,0,45,<=50K,Government,Bachelors,White-Collar,USA
57,47857,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,Self-Employed,Some College,Blue-Collar,USA
23,174754,Never-married,Not-in-family,White,Female,0,0,30,<=50K,Private,Some College,Sales,USA
18,234428,Never-married,Own-child,White,Male,0,0,20,<=50K,Private,Dropout,Service,USA
43,311914,Divorced,Not-in-family,White,Female,0,0,40,<=50K,Government,Some College,White-Collar,USA
46,116906,Never-married,Not-in-family,Black,Female,0,2258,35,<=50K,Government,Advanced,White-Collar,USA
37,144005,Never-married,Not-in-family,White,Male,0,0,50,<=50K,Private,Some College,Sales,USA
56,373593,Married-civ-spouse,Husband,White,Male,0,1977,60,>50K,Self-Employed,Advanced,White-Collar,Europe
30,227886,Never-married,Own-child,Black,Female,0,0,35,<=50K,Private,High School,White-Collar,Central America
29,169544,Married-civ-spouse,Husband,White,Male,5178,0,40,>50K,Self-Employed,High School,Blue-Collar,USA
41,190591,Divorced,Not-in-family,Black,Female,0,0,40,<=50K,Private,Some College,White-Collar,Central America
54,87205,Widowed,Not-in-family,White,Female,0,0,15,<=50K,Private,High School,Service,USA
22,215917,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,<=50K,Private,High School,Blue-Collar,USA
19,375077,Never-married,Own-child,White,Male,0,0,50,<=50K,Private,High School,Sales,USA
23,278391,Never-married,Own-child,White,Male,0,0,40,<=50K,Private,High School,Blue-Collar,USA
58,32521,Married-spouse-absent,Not-in-family,White,Female,0,0,20,<=50K,Self-Employed,Dropout,Blue-Collar,USA
20,38455,Never-married,Not-in-family,White,Male,0,0,10,<=50K,Government,High School,Blue-Collar,USA
35,112271,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Private,Advanced,White-Collar,USA
33,211699,Divorced,Unmarried,White,Female,0,0,40,<=50K,Private,Some College,Service,USA
29,97165,Never-married,Unmarried,White,Female,0,0,40,<=50K,Private,Some College,White-Collar,USA
29,217290,Never-married,Not-in-family,White,Female,0,0,40,<=50K,Private,Some College,White-Collar,USA
59,171242,Separated,Not-in-family,White,Male,0,0,45,<=50K,Private,Bachelors,White-Collar,USA
26,177625,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Private,High School,Support,USA
25,230200,Married-civ-spouse,Wife,White,Female,0,0,40,<=50K,Government,Bachelors,Service,USA
29,241431,Married-civ-spouse,Husband,White,Male,0,0,35,>50K,Self-Employed,Advanced,White-Collar,USA
37,265737,Married-civ-spouse,Husband,Black,Male,0,1887,60,>50K,Private,Some College,White-Collar,Central America
63,200474,Divorced,Not-in-family,White,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar,USA
51,35576,Divorced,Not-in-family,White,Male,0,0,38,<=50K,Private,High School,Blue-Collar,USA
42,222884,Divorced,Not-in-family,White,Male,0,0,40,<=50K,Government,Bachelors,White-Collar,USA
29,192384,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Private,High School,Blue-Collar,USA
65,187493,Married-civ-spouse,Husband,White,Male,20051,0,40,>50K,Private,Advanced,White-Collar,Europe
39,98776,Divorced,Not-in-family,White,Male,0,0,50,>50K,Private,Some College,White-Collar,USA
36,203836,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,Government,Some College,Blue-Collar,USA
24,446647,Never-married,Own-child,White,Male,0,0,15,<=50K,Private,Bachelors,White-Collar,USA
53,418901,Married-civ-spouse,Husband,Other,Male,0,0,40,<=50K,Private,High School,Blue-Collar,North America
39,209609,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,Government,High School,White-Collar,USA
59,140569,Separated,Not-in-family,White,Male,14084,0,60,>50K,Private,Some College,Sales,USA
50,148431,Married-civ-spouse,Husband,White,Male,0,0,55,>50K,Private,Advanced,White-Collar,USA
35,331395,Married-civ-spouse,Husband,White,Male,0,0,42,<=50K,Government,Some College,Service,USA
24,117779,Never-married,Own-child,White,Male,0,0,40,<=50K,Private,Bachelors,White-Collar,USA
46,97883,Divorced,Not-in-family,White,Female,0,0,40,<=50K,Private,Some College,White-Collar,USA
44,85604,Divorced,Not-in-family,White,Male,0,0,40,>50K,Private,High School,Blue-Collar,USA
28,180928,Never-married,Own-child,White,Male,0,0,40,<=50K,Self-Employed,High School,White-Collar,USA
59,98984,Divorced,Not-in-family,White,Male,0,0,40,<=50K,Government,Bachelors,White-Collar,USA
55,28735,Divorced,Unmarried,Amer-Indian-Eskimo,Female,0,0,45,<=50K,Private,High School,White-Collar,USA
54,198186,Never-married,Not-in-family,Black,Female,0,0,38,<=50K,Government,High School,Service,USA
34,113129,Married-civ-spouse,Husband,White,Male,0,0,38,>50K,Private,Some College,Sales,USA
28,110145,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar,USA
29,169631,Married-spouse-absent,Own-child,White,Female,0,0,40,<=50K,Private,High School,White-Collar,USA
51,224207,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Private,Some College,Sales,USA
64,222966,Married-civ-spouse,Wife,Black,Female,0,0,40,<=50K,Government,Dropout,Service,USA
22,26248,Never-married,Own-child,White,Female,0,0,50,<=50K,Self-Employed,High School,Service,USA
33,179336,Never-married,Not-in-family,White,Female,0,0,40,<=50K,Private,Advanced,White-Collar,USA
40,374367,Separated,Not-in-family,Black,Male,0,0,44,<=50K,Private,Some College,Sales,USA
20,33644,Never-married,Own-child,White,Female,0,0,30,<=50K,Private,High School,White-Collar,USA
42,206066,Married-civ-spouse,Husband,White,Male,0,0,65,<=50K,Self-Employed,Advanced,White-Collar,USA
32,26803,Married-civ-spouse,Husband,White,Male,0,0,84,>50K,Private,Some College,Blue-Collar,USA
26,176729,Never-married,Not-in-family,White,Male,0,0,45,>50K,Private,Bachelors,Blue-Collar,USA
51,95469,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Private,High School,White-Collar,USA
21,25265,Never-married,Own-child,White,Male,0,0,18,<=50K,Private,Some College,Service,USA
21,348092,Never-married,Not-in-family,Black,Male,0,0,40,<=50K,Private,High School,Service,Other
55,141807,Married-spouse-absent,Other-relative,White,Male,0,0,40,<=50K,Private,High School,Blue-Collar,Europe
21,194861,Never-married,Own-child,White,Male,0,0,40,<=50K,Private,High School,Blue-Collar,USA
31,369825,Never-married,Not-in-family,White,Male,4101,0,50,<=50K,Private,Bachelors,Sales,USA
47,60087,Married-spouse-absent,Not-in-family,White,Female,0,0,60,<=50K,Self-Employed,Some College,White-Collar,USA
34,49325,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Private,Advanced,White-Collar,USA
26,202033,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Private,Bachelors,Blue-Collar,USA
34,222548,Married-civ-spouse,Wife,White,Female,0,0,4,<=50K,Private,Some College,Blue-Collar,USA
53,187830,Married-civ-spouse,Husband,White,Male,7688,0,35,>50K,Self-Employed,Advanced,White-Collar,USA
46,318331,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Private,High School,Blue-Collar,USA
32,97723,Married-civ-spouse,Husband,White,Male,0,1672,40,<=50K,Private,High School,Blue-Collar,USA
47,161950,Divorced,Not-in-family,White,Female,0,0,25,<=50K,Private,Bachelors,Service,Europe
24,161092,Married-civ-spouse,Husband,White,Male,7298,0,40,>50K,Private,Some College,White-Collar,USA
40,120277,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Private,Some College,Sales,USA
59,107287,Widowed,Unmarried,White,Female,0,2559,50,>50K,Self-Employed,Dropout,White-Collar,USA
50,98228,Divorced,Unmarried,White,Female,0,0,45,<=50K,Private,High School,Sales,USA
53,46155,Married-civ-spouse,Other-relative,White,Female,0,0,40,<=50K,Private,High School,Service,USA
33,136331,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Private,High School,Blue-Collar,USA
48,107231,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Private,Bachelors,White-Collar,USA
17,213354,Never-married,Own-child,White,Male,0,0,6,<=50K,Private,Dropout,Blue-Collar,USA
25,312157,Never-married,Not-in-family,White,Female,0,0,40,<=50K,Private,Some College,White-Collar,USA
64,200517,Married-civ-spouse,Husband,White,Male,0,0,39,<=50K,Private,High School,White-Collar,USA
47,162187,Married-civ-spouse,Husband,White,Male,0,1887,40,>50K,Government,Some College,Blue-Collar,USA
51,230095,Widowed,Not-in-family,White,Female,0,0,40,<=50K,Private,Dropout,Service,USA
65,42488,Married-civ-spouse,Husband,White,Male,2653,0,8,<=50K,Government,Advanced,White-Collar,USA
31,265201,Never-married,Not-in-family,White,Female,0,0,40,<=50K,Private,High School,White-Collar,Europe
46,105327,Divorced,Not-in-family,White,Male,0,0,40,<=50K,Private,High School,Blue-Collar,USA
29,245310,Never-married,Not-in-family,White,Male,0,0,35,<=50K,Government,Some College,White-Collar,USA
37,133526,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Government,Bachelors,White-Collar,USA
38,498411,Married-civ-spouse,Wife,White,Female,0,0,40,<=50K,Private,Some College,White-Collar,USA
49,123807,Separated,Unmarried,Black,Female,0,0,40,<=50K,Private,High School,White-Collar,USA
36,104772,Married-civ-spouse,Husband,White,Male,3908,0,40,<=50K,Self-Employed,Bachelors,White-Collar,USA
20,238384,Never-married,Not-in-family,White,Female,0,0,30,<=50K,Private,High School,Sales,USA
37,110713,Married-civ-spouse,Husband,White,Male,0,0,50,>50K,Private,High School,Sales,USA
29,217200,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Private,High School,Blue-Collar,USA
78,105586,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,36,<=50K,Private,Dropout,Blue-Collar,USA
31,114937,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Private,Some College,White-Collar,USA
43,109762,Married-civ-spouse,Husband,White,Male,0,0,20,>50K,Private,Bachelors,White-Collar,USA
34,96480,Separated,Unmarried,White,Female,0,0,40,<=50K,Private,Some College,White-Collar,USA
29,197382,Never-married,Not-in-family,White,Male,0,0,45,<=50K,Private,Dropout,Blue-Collar,USA
38,339442,Married-civ-spouse,Husband,Black,Male,0,0,40,<=50K,Government,Some College,Blue-Collar,USA
27,371103,Never-married,Not-in-family,Black,Female,0,0,40,<=50K,Private,Bachelors,White-Collar,USA
22,124971,Never-married,Not-in-family,White,Male,0,0,45,<=50K,Private,High School,Blue-Collar,USA
20,26585,Never-married,Not-in-family,Amer-Indian-Eskimo,Female,0,0,25,<=50K,Government,High School,Service,USA
45,212954,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,Self-Employed,Some College,Blue-Collar,USA
45,162915,Divorced,Not-in-family,White,Male,0,0,50,<=50K,Private,Some College,Blue-Collar,USA
37,103474,Never-married,Own-child,White,Female,0,0,40,<=50K,Government,High School,Service,USA
22,324922,Never-married,Not-in-family,White,Male,0,0,50,<=50K,Private,High School,Blue-Collar,USA
29,244395,Never-married,Unmarried,Black,Female,0,0,40,<=50K,Private,Dropout,Service,USA
45,175600,Divorced,Not-in-family,White,Male,0,0,50,<=50K,Private,Some College,Sales,USA
34,175878,Married-civ-spouse,Husband,White,Female,0,0,40,<=50K,Private,High School,Sales,USA
34,386370,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,Private,Some College,Blue-Collar,USA
26,269060,Never-married,Not-in-family,White,Female,0,0,40,<=50K,Private,High School,White-Collar,USA
47,148995,Married-civ-spouse,Husband,White,Male,0,0,60,>50K,Government,High School,Service,USA
45,211666,Never-married,Not-in-family,White,Female,0,0,40,>50K,Government,Advanced,White-Collar,USA
63,64544,Never-married,Not-in-family,White,Male,0,0,40,>50K,Private,Bachelors,Support,USA
25,141876,Never-married,Own-child,White,Male,0,0,40,<=50K,Private,Bachelors,White-Collar,USA
26,279833,Never-married,Not-in-family,White,Male,0,2258,45,>50K,Private,Bachelors,White-Collar,USA
36,223020,Divorced,Unmarried,Black,Female,0,0,20,<=50K,Government,Some College,Service,USA
20,181796,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Private,High School,Blue-Collar,USA
19,43937,Never-married,Own-child,White,Female,0,0,12,<=50K,Private,Some College,Service,USA
40,244945,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Private,High School,Blue-Collar,USA
52,229983,Married-civ-spouse,Wife,White,Female,3103,0,30,>50K,Private,Advanced,White-Collar,USA
30,203834,Never-married,Not-in-family,Asian-Pac-Islander,Female,0,0,50,<=50K,Private,Bachelors,Service,Asia
21,192572,Never-married,Own-child,White,Female,0,0,45,<=50K,Private,High School,White-Collar,USA
37,166115,Married-civ-spouse,Husband,White,Male,0,0,50,>50K,Private,Dropout,Blue-Collar,USA
71,45741,Married-civ-spouse,Husband,White,Male,20051,0,30,>50K,Self-Employed,Bachelors,Sales,USA
38,202937,Married-civ-spouse,Wife,White,Female,0,0,40,>50K,Private,Some College,White-Collar,USA
34,56964,Married-civ-spouse,Husband,White,Male,0,0,35,<=50K,Self-Employed,High School,Blue-Collar,USA
31,179186,Married-civ-spouse,Husband,Black,Male,0,0,90,>50K,Private,Bachelors,Sales,USA
45,339863,Divorced,Not-in-family,White,Male,8614,0,48,>50K,Private,Bachelors,Sales,USA
36,174242,Married-civ-spouse,Husband,White,Male,7298,0,50,>50K,Private,Advanced,White-Collar,USA
18,192022,Never-married,Own-child,White,Male,0,0,20,<=50K,Private,Some College,Service,USA
28,163862,Married-civ-spouse,Husband,White,Male,5178,0,40,>50K,Government,Bachelors,White-Collar,USA
25,256620,Separated,Not-in-family,White,Male,0,0,40,<=50K,Private,Bachelors,White-Collar,USA
18,122775,Never-married,Own-child,White,Male,0,0,35,<=50K,Private,High School,Service,USA
38,181139,Never-married,Not-in-family,White,Female,0,0,42,<=50K,Private,Bachelors,Sales,USA
31,118161,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Private,High School,Service,USA
37,224947,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Private,Some College,Service,USA
18,199039,Never-married,Own-child,White,Male,594,0,14,<=50K,Private,Dropout,Sales,USA
50,131819,Divorced,Not-in-family,White,Female,0,0,40,<=50K,Private,High School,Service,USA
21,236684,Never-married,Other-relative,Black,Female,0,0,8,<=50K,Private,Some College,Service,USA
65,209280,Married-civ-spouse,Husband,White,Male,6514,0,35,>50K,Government,Advanced,White-Collar,USA
18,274746,Never-married,Unmarried,White,Female,0,0,20,<=50K,Private,High School,Blue-Collar,USA
36,200904,Married-civ-spouse,Wife,Black,Female,0,0,21,<=50K,Self-Employed,Some College,Service,Other
59,103948,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Private,High School,Blue-Collar,USA
32,156015,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Private,Bachelors,White-Collar,USA
65,361721,Married-civ-spouse,Husband,White,Male,0,0,20,<=50K,Private,Some College,Blue-Collar,USA
29,118478,Married-civ-spouse,Wife,White,Female,7298,0,50,>50K,Private,Some College,White-Collar,USA
31,220066,Never-married,Not-in-family,White,Female,14344,0,50,>50K,Private,Bachelors,White-Collar,USA
32,178835,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Private,High School,White-Collar,USA
51,142801,Widowed,Not-in-family,Black,Female,0,0,40,>50K,Government,Advanced,White-Collar,USA
53,89400,Widowed,Unmarried,White,Female,0,0,40,<=50K,Private,Some College,White-Collar,USA
20,183594,Never-married,Own-child,White,Male,0,0,40,<=50K,Private,Some College,Blue-Collar,USA
26,313473,Never-married,Not-in-family,White,Male,0,0,30,<=50K,Private,Some College,Service,USA
37,284616,Never-married,Own-child,White,Male,0,0,48,<=50K,Self-Employed,Some College,Sales,USA
51,134447,Married-civ-spouse,Husband,White,Male,0,0,70,<=50K,Self-Employed,High School,Blue-Collar,USA
50,96657,Divorced,Unmarried,Black,Female,0,0,40,<=50K,Government,Bachelors,White-Collar,USA
19,272063,Never-married,Own-child,White,Male,0,0,35,<=50K,Private,High School,Blue-Collar,USA
37,97986,Married-civ-spouse,Husband,White,Male,0,0,68,<=50K,Self-Employed,Some College,Sales,USA
64,352712,Married-civ-spouse,Husband,White,Male,0,0,55,<=50K,Self-Employed,Some College,Blue-Collar,USA
29,237865,Never-married,Own-child,Black,Male,0,0,40,<=50K,Private,Advanced,Blue-Collar,USA
31,271173,Never-married,Own-child,Black,Male,4650,0,40,<=50K,Self-Employed,Some College,Blue-Collar,USA
23,204209,Never-married,Own-child,White,Male,0,0,10,<=50K,Private,Some College,Blue-Collar,USA
20,60639,Never-married,Not-in-family,White,Female,0,0,40,<=50K,Private,Some College,Service,USA
23,147548,Divorced,Unmarried,White,Female,0,0,30,<=50K,Private,High School,Service,USA
44,125461,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Private,Bachelors,Sales,USA
30,226665,Married-civ-spouse,Husband,Black,Male,0,0,42,>50K,Private,Bachelors,White-Collar,USA
20,163205,Separated,Own-child,White,Female,0,0,30,<=50K,Private,Some College,Service,USA
52,50934,Married-civ-spouse,Wife,White,Female,0,0,20,>50K,Self-Employed,Some College,Blue-Collar,USA
36,187847,Married-civ-spouse,Husband,White,Male,7688,0,40,>50K,Private,Bachelors,White-Collar,USA
46,125892,Married-civ-spouse,Other-relative,White,Male,15024,0,40,>50K,Government,Advanced,White-Collar,USA
41,65372,Divorced,Unmarried,White,Female,0,0,50,>50K,Private,Advanced,Sales,USA
25,102476,Never-married,Own-child,White,Male,27828,0,50,>50K,Private,Bachelors,Blue-Collar,USA
42,137232,Divorced,Unmarried,White,Female,0,0,50,<=50K,Government,High School,Service,USA
47,119458,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,<=50K,Government,High School,Service,USA
34,195748,Never-married,Own-child,Black,Female,0,0,38,<=50K,Private,Some College,White-Collar,USA
32,123971,Divorced,Not-in-family,White,Female,0,0,49,<=50K,Self-Employed,Dropout,Service,USA
50,66544,Divorced,Unmarried,White,Female,0,0,65,<=50K,Government,Advanced,White-Collar,USA
23,151910,Never-married,Own-child,White,Female,0,1719,40,<=50K,Private,Bachelors,Blue-Collar,USA
