age,marital_status,relationship,sex,capital_gain,capital_loss,hours_per_week,income,workclass_grouped,education_grouped,occupation_grouped
37,Never-married,Not-in-family,Male,0,0,50,<=50K,Private,Some College,Sales
56,Married-civ-spouse,Husband,Male,0,1977,60,>50K,Self-Employed,Advanced,White-Collar
30,Never-married,Own-child,Female,0,0,35,<=50K,Private,High School,White-Collar
29,Married-civ-spouse,Husband,Male,5178,0,40,>50K,Self-Employed,High School,Blue-Collar
41,Divorced,Not-in-family,Female,0,0,40,<=50K,Private,Some College,White-Collar
54,Widowed,Not-in-family,Female,0,0,15,<=50K,Private,High School,Service
22,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
19,Never-married,Own-child,Male,0,0,50,<=50K,Private,High School,Sales
23,Never-married,Own-child,Male,0,0,40,<=50K,Private,High School,Blue-Collar
58,Married-spouse-absent,Not-in-family,Female,0,0,20,<=50K,Self-Employed,Dropout,Blue-Collar
20,Never-married,Not-in-family,Male,0,0,10,<=50K,Government,High School,Blue-Collar
35,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Advanced,White-Collar
33,Divorced,Unmarried,Female,0,0,40,<=50K,Private,Some College,Service
29,Never-married,Unmarried,Female,0,0,40,<=50K,Private,Some College,White-Collar
29,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,Some College,White-Collar
59,Separated,Not-in-family,Male,0,0,45,<=50K,Private,Bachelors,White-Collar
26,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,High School,Support
25,Married-civ-spouse,Wife,Female,0,0,40,<=50K,Government,Bachelors,Service
29,Married-civ-spouse,Husband,Male,0,0,35,>50K,Self-Employed,Advanced,White-Collar
37,Married-civ-spouse,Husband,Male,0,1887,60,>50K,Private,Some College,White-Collar
63,Divorced,Not-in-family,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
51,Divorced,Not-in-family,Male,0,0,38,<=50K,Private,High School,Blue-Collar
42,Divorced,Not-in-family,Male,0,0,40,<=50K,Government,Bachelors,White-Collar
29,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,High School,Blue-Collar
65,Married-civ-spouse,Husband,Male,20051,0,40,>50K,Private,Advanced,White-Collar
39,Divorced,Not-in-family,Male,0,0,50,>50K,Private,Some College,White-Collar
36,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Government,Some College,Blue-Collar
24,Never-married,Own-child,Male,0,0,15,<=50K,Private,Bachelors,White-Collar
53,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
39,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Government,High School,White-Collar
59,Separated,Not-in-family,Male,14084,0,60,>50K,Private,Some College,Sales
50,Married-civ-spouse,Husband,Male,0,0,55,>50K,Private,Advanced,White-Collar
35,Married-civ-spouse,Husband,Male,0,0,42,<=50K,Government,Some College,Service
24,Never-married,Own-child,Male,0,0,40,<=50K,Private,Bachelors,White-Collar
46,Divorced,Not-in-family,Female,0,0,40,<=50K,Private,Some College,White-Collar
44,Divorced,Not-in-family,Male,0,0,40,>50K,Private,High School,Blue-Collar
28,Never-married,Own-child,Male,0,0,40,<=50K,Self-Employed,High School,White-Collar
59,Divorced,Not-in-family,Male,0,0,40,<=50K,Government,Bachelors,White-Collar
55,Divorced,Unmarried,Female,0,0,45,<=50K,Private,High School,White-Collar
54,Never-married,Not-in-family,Female,0,0,38,<=50K,Government,High School,Service
34,Married-civ-spouse,Husband,Male,0,0,38,>50K,Private,Some College,Sales
28,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
29,Married-spouse-absent,Own-child,Female,0,0,40,<=50K,Private,High School,White-Collar
51,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,Some College,Sales
64,Married-civ-spouse,Wife,Female,0,0,40,<=50K,Government,Dropout,Service
22,Never-married,Own-child,Female,0,0,50,<=50K,Self-Employed,High School,Service
33,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,Advanced,White-Collar
40,Separated,Not-in-family,Male,0,0,44,<=50K,Private,Some College,Sales
20,Never-married,Own-child,Female,0,0,30,<=50K,Private,High School,White-Collar
42,Married-civ-spouse,Husband,Male,0,0,65,<=50K,Self-Employed,Advanced,White-Collar
32,Married-civ-spouse,Husband,Male,0,0,84,>50K,Private,Some College,Blue-Collar
26,Never-married,Not-in-family,Male,0,0,45,>50K,Private,Bachelors,Blue-Collar
51,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,White-Collar
21,Never-married,Own-child,Male,0,0,18,<=50K,Private,Some College,Service
21,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,High School,Service
55,Married-spouse-absent,Other-relative,Male,0,0,40,<=50K,Private,High School,Blue-Collar
21,Never-married,Own-child,Male,0,0,40,<=50K,Private,High School,Blue-Collar
31,Never-married,Not-in-family,Male,4101,0,50,<=50K,Private,Bachelors,Sales
47,Married-spouse-absent,Not-in-family,Female,0,0,60,<=50K,Self-Employed,Some College,White-Collar
34,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,Advanced,White-Collar
26,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,Bachelors,Blue-Collar
34,Married-civ-spouse,Wife,Female,0,0,4,<=50K,Private,Some College,Blue-Collar
53,Married-civ-spouse,Husband,Male,7688,0,35,>50K,Self-Employed,Advanced,White-Collar
46,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
32,Married-civ-spouse,Husband,Male,0,1672,40,<=50K,Private,High School,Blue-Collar
47,Divorced,Not-in-family,Female,0,0,25,<=50K,Private,Bachelors,Service
24,Married-civ-spouse,Husband,Male,7298,0,40,>50K,Private,Some College,White-Collar
40,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,Some College,Sales
59,Widowed,Unmarried,Female,0,2559,50,>50K,Self-Employed,Dropout,White-Collar
50,Divorced,Unmarried,Female,0,0,45,<=50K,Private,High School,Sales
53,Married-civ-spouse,Other-relative,Female,0,0,40,<=50K,Private,High School,Service
33,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
48,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Bachelors,White-Collar
17,Never-married,Own-child,Male,0,0,6,<=50K,Private,Dropout,Blue-Collar
25,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,Some College,White-Collar
64,Married-civ-spouse,Husband,Male,0,0,39,<=50K,Private,High School,White-Collar
47,Married-civ-spouse,Husband,Male,0,1887,40,>50K,Government,Some College,Blue-Collar
51,Widowed,Not-in-family,Female,0,0,40,<=50K,Private,Dropout,Service
65,Married-civ-spouse,Husband,Male,2653,0,8,<=50K,Government,Advanced,White-Collar
31,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,High School,White-Collar
46,Divorced,Not-in-family,Male,0,0,40,<=50K,Private,High School,Blue-Collar
29,Never-married,Not-in-family,Male,0,0,35,<=50K,Government,Some College,White-Collar
37,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Government,Bachelors,White-Collar
38,Married-civ-spouse,Wife,Female,0,0,40,<=50K,Private,Some College,White-Collar
49,Separated,Unmarried,Female,0,0,40,<=50K,Private,High School,White-Collar
36,Married-civ-spouse,Husband,Male,3908,0,40,<=50K,Self-Employed,Bachelors,White-Collar
20,Never-married,Not-in-family,Female,0,0,30,<=50K,Private,High School,Sales
37,Married-civ-spouse,Husband,Male,0,0,50,>50K,Private,High School,Sales
29,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
78,Married-civ-spouse,Husband,Male,0,0,36,<=50K,Private,Dropout,Blue-Collar
31,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,Some College,White-Collar
43,Married-civ-spouse,Husband,Male,0,0,20,>50K,Private,Bachelors,White-Collar
34,Separated,Unmarried,Female,0,0,40,<=50K,Private,Some College,White-Collar
29,Never-married,Not-in-family,Male,0,0,45,<=50K,Private,Dropout,Blue-Collar
38,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Government,Some College,Blue-Collar
27,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,Bachelors,White-Collar
22,Never-married,Not-in-family,Male,0,0,45,<=50K,Private,High School,Blue-Collar
20,Never-married,Not-in-family,Female,0,0,25,<=50K,Government,High School,Service
45,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Self-Employed,Some College,Blue-Collar
45,Divorced,Not-in-family,Male,0,0,50,<=50K,Private,Some College,Blue-Collar
37,Never-married,Own-child,Female,0,0,40,<=50K,Government,High School,Service
22,Never-married,Not-in-family,Male,0,0,50,<=50K,Private,High School,Blue-Collar
29,Never-married,Unmarried,Female,0,0,40,<=50K,Private,Dropout,Service
45,Divorced,Not-in-family,Male,0,0,50,<=50K,Private,Some College,Sales
34,Married-civ-spouse,Husband,Female,0,0,40,<=50K,Private,High School,Sales
34,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Private,Some College,Blue-Collar
26,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,High School,White-Collar
47,Married-civ-spouse,Husband,Male,0,0,60,>50K,Government,High School,Service
45,Never-married,Not-in-family,Female,0,0,40,>50K,Government,Advanced,White-Collar
63,Never-married,Not-in-family,Male,0,0,40,>50K,Private,Bachelors,Support
25,Never-married,Own-child,Male,0,0,40,<=50K,Private,Bachelors,White-Collar
26,Never-married,Not-in-family,Male,0,2258,45,>50K,Private,Bachelors,White-Collar
36,Divorced,Unmarried,Female,0,0,20,<=50K,Government,Some College,Service
20,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
19,Never-married,Own-child,Female,0,0,12,<=50K,Private,Some College,Service
40,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
52,Married-civ-spouse,Wife,Female,3103,0,30,>50K,Private,Advanced,White-Collar
30,Never-married,Not-in-family,Female,0,0,50,<=50K,Private,Bachelors,Service
21,Never-married,Own-child,Female,0,0,45,<=50K,Private,High School,White-Collar
37,Married-civ-spouse,Husband,Male,0,0,50,>50K,Private,Dropout,Blue-Collar
71,Married-civ-spouse,Husband,Male,20051,0,30,>50K,Self-Employed,Bachelors,Sales
38,Married-civ-spouse,Wife,Female,0,0,40,>50K,Private,Some College,White-Collar
34,Married-civ-spouse,Husband,Male,0,0,35,<=50K,Self-Employed,High School,Blue-Collar
31,Married-civ-spouse,Husband,Male,0,0,90,>50K,Private,Bachelors,Sales
45,Divorced,Not-in-family,Male,8614,0,48,>50K,Private,Bachelors,Sales
36,Married-civ-spouse,Husband,Male,7298,0,50,>50K,Private,Advanced,White-Collar
18,Never-married,Own-child,Male,0,0,20,<=50K,Private,Some College,Service
28,Married-civ-spouse,Husband,Male,5178,0,40,>50K,Government,Bachelors,White-Collar
25,Separated,Not-in-family,Male,0,0,40,<=50K,Private,Bachelors,White-Collar
18,Never-married,Own-child,Male,0,0,35,<=50K,Private,High School,Service
38,Never-married,Not-in-family,Female,0,0,42,<=50K,Private,Bachelors,Sales
31,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Service
37,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,Some College,Service
18,Never-married,Own-child,Male,594,0,14,<=50K,Private,Dropout,Sales
50,Divorced,Not-in-family,Female,0,0,40,<=50K,Private,High School,Service
21,Never-married,Other-relative,Female,0,0,8,<=50K,Private,Some College,Service
65,Married-civ-spouse,Husband,Male,6514,0,35,>50K,Government,Advanced,White-Collar
18,Never-married,Unmarried,Female,0,0,20,<=50K,Private,High School,Blue-Collar
36,Married-civ-spouse,Wife,Female,0,0,21,<=50K,Self-Employed,Some College,Service
59,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
32,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,Bachelors,White-Collar
65,Married-civ-spouse,Husband,Male,0,0,20,<=50K,Private,Some College,Blue-Collar
29,Married-civ-spouse,Wife,Female,7298,0,50,>50K,Private,Some College,White-Collar
31,Never-married,Not-in-family,Female,14344,0,50,>50K,Private,Bachelors,White-Collar
32,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,High School,White-Collar
51,Widowed,Not-in-family,Female,0,0,40,>50K,Government,Advanced,White-Collar
53,Widowed,Unmarried,Female,0,0,40,<=50K,Private,Some College,White-Collar
20,Never-married,Own-child,Male,0,0,40,<=50K,Private,Some College,Blue-Collar
26,Never-married,Not-in-family,Male,0,0,30,<=50K,Private,Some College,Service
37,Never-married,Own-child,Male,0,0,48,<=50K,Self-Employed,Some College,Sales
51,Married-civ-spouse,Husband,Male,0,0,70,<=50K,Self-Employed,High School,Blue-Collar
50,Divorced,Unmarried,Female,0,0,40,<=50K,Government,Bachelors,White-Collar
19,Never-married,Own-child,Male,0,0,35,<=50K,Private,High School,Blue-Collar
37,Married-civ-spouse,Husband,Male,0,0,68,<=50K,Self-Employed,Some College,Sales
64,Married-civ-spouse,Husband,Male,0,0,55,<=50K,Self-Employed,Some College,Blue-Collar
29,Never-married,Own-child,Male,0,0,40,<=50K,Private,Advanced,Blue-Collar
31,Never-married,Own-child,Male,4650,0,40,<=50K,Self-Employed,Some College,Blue-Collar
23,Never-married,Own-child,Male,0,0,10,<=50K,Private,Some College,Blue-Collar
20,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,Some College,Service
23,Divorced,Unmarried,Female,0,0,30,<=50K,Private,High School,Service
44,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,Bachelors,Sales
30,Married-civ-spouse,Husband,Male,0,0,42,>50K,Private,Bachelors,White-Collar
20,Separated,Own-child,Female,0,0,30,<=50K,Private,Some College,Service
52,Married-civ-spouse,Wife,Female,0,0,20,>50K,Self-Employed,Some College,Blue-Collar
36,Married-civ-spouse,Husband,Male,7688,0,40,>50K,Private,Bachelors,White-Collar
46,Married-civ-spouse,Other-relative,Male,15024,0,40,>50K,Government,Advanced,White-Collar
41,Divorced,Unmarried,Female,0,0,50,>50K,Private,Advanced,Sales
25,Never-married,Own-child,Male,27828,0,50,>50K,Private,Bachelors,Blue-Collar
42,Divorced,Unmarried,Female,0,0,50,<=50K,Government,High School,Service
47,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Government,High School,Service
34,Never-married,Own-child,Female,0,0,38,<=50K,Private,Some College,White-Collar
32,Divorced,Not-in-family,Female,0,0,49,<=50K,Self-Employed,Dropout,Service
50,Divorced,Unmarried,Female,0,0,65,<=50K,Government,Advanced,White-Collar
23,Never-married,Own-child,Female,0,1719,40,<=50K,Private,Bachelors,Blue-Collar
46,Married-civ-spouse,Husband,Male,7688,0,40,>50K,Private,Some College,Blue-Collar
46,Divorced,Unmarried,Female,0,0,32,<=50K,Private,Bachelors,White-Collar
25,Never-married,Not-in-family,Female,0,0,37,<=50K,Government,Advanced,White-Collar
19,Never-married,Own-child,Male,0,0,40,<=50K,Self-Employed,Some College,Blue-Collar
38,Divorced,Own-child,Female,0,0,40,<=50K,Private,Some College,White-Collar
44,Married-civ-spouse,Husband,Male,0,0,29,>50K,Private,Advanced,White-Collar
17,Never-married,Other-relative,Male,0,0,48,<=50K,Private,Dropout,Service
58,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Bachelors,White-Collar
23,Never-married,Own-child,Female,0,0,20,<=50K,Private,Some College,Blue-Collar
39,Divorced,Unmarried,Female,0,0,40,<=50K,Private,Some College,Sales
66,Separated,Not-in-family,Male,0,0,40,<=50K,Private,High School,Blue-Collar
29,Never-married,Not-in-family,Female,3325,0,45,<=50K,Private,Bachelors,Sales
52,Married-civ-spouse,Husband,Male,3781,0,40,<=50K,Private,High School,Blue-Collar
50,Married-civ-spouse,Husband,Male,7688,0,40,>50K,Government,Advanced,White-Collar
34,Divorced,Own-child,Male,0,0,40,<=50K,Private,High School,Blue-Collar
41,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Private,Bachelors,White-Collar
65,Married-civ-spouse,Husband,Male,0,0,70,<=50K,Unemployed,Dropout,Blue-Collar
42,Never-married,Not-in-family,Male,0,0,60,<=50K,Private,Bachelors,White-Collar
34,Never-married,Own-child,Male,0,0,50,<=50K,Private,High School,White-Collar
32,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Private,Bachelors,Support
20,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,Dropout,Sales
22,Never-married,Not-in-family,Male,0,1602,10,<=50K,Private,Some College,Service
20,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,High School,Service
22,Never-married,Own-child,Female,0,0,60,<=50K,Private,Bachelors,White-Collar
41,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Some College,White-Collar
34,Married-civ-spouse,Husband,Male,15024,0,35,>50K,Self-Employed,Bachelors,White-Collar
35,Never-married,Not-in-family,Male,0,0,60,<=50K,Self-Employed,High School,Blue-Collar
29,Married-civ-spouse,Husband,Male,0,0,35,<=50K,Private,Some College,Blue-Collar
42,Married-civ-spouse,Husband,Male,0,0,50,>50K,Private,Bachelors,Support
44,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,Bachelors,White-Collar
19,Never-married,Own-child,Male,0,0,40,<=50K,Private,Some College,Blue-Collar
25,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,Some College,White-Collar
41,Married-civ-spouse,Husband,Male,0,0,43,<=50K,Private,Some College,Sales
22,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Bachelors,Sales
44,Separated,Unmarried,Female,0,0,40,<=50K,Government,Advanced,White-Collar
39,Married-civ-spouse,Wife,Female,0,0,54,>50K,Self-Employed,High School,Sales
60,Divorced,Unmarried,Female,0,0,40,>50K,Private,Bachelors,White-Collar
23,Never-married,Own-child,Male,0,0,45,<=50K,Private,Some College,White-Collar
42,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
21,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,Some College,Service
60,Divorced,Unmarried,Female,0,0,40,<=50K,Government,Dropout,White-Collar
48,Divorced,Unmarried,Female,0,0,40,<=50K,Private,Some College,White-Collar
27,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,Bachelors,White-Collar
20,Never-married,Own-child,Female,0,0,8,<=50K,Private,Some College,Sales
32,Married-civ-spouse,Husband,Male,0,0,60,>50K,Private,Some College,Blue-Collar
41,Married-civ-spouse,Wife,Female,0,0,15,<=50K,Private,High School,Blue-Collar
31,Married-civ-spouse,Wife,Female,0,0,40,>50K,Self-Employed,Bachelors,White-Collar
55,Divorced,Not-in-family,Male,0,0,40,<=50K,Private,High School,Blue-Collar
19,Never-married,Own-child,Female,0,0,52,<=50K,Private,High School,Service
24,Married-civ-spouse,Wife,Female,0,0,40,<=50K,Private,Some College,White-Collar
20,Never-married,Own-child,Male,0,2258,10,<=50K,Self-Employed,Some College,Blue-Collar
50,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Advanced,Support
34,Never-married,Unmarried,Female,0,0,24,<=50K,Government,Advanced,White-Collar
28,Married-civ-spouse,Own-child,Male,7688,0,50,>50K,Private,Some College,White-Collar
31,Married-civ-spouse,Husband,Male,0,0,60,<=50K,Private,Bachelors,Sales
18,Never-married,Own-child,Female,0,0,32,<=50K,Private,Some College,Service
34,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Some College,Blue-Collar
